Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,Multiplier,Commission,Symbol-2020,Centage,Desc
CL,51.7,0.01,0,0,0.01,0.01,3.5,18.771,1000,0.003,CL-FUT-20200320-CL-NYMEX,0,Crude Oil
ES,3373,0.25,0,0,0.25,0.25,100,0,50,0.04,ES-FUT-20221216-ES-GLOBEX,0,S&P Mini
GC,1596.3,0.4,0,0,0.1,0.1,45.37,33.07,100,0.04,GC-FUT-20201028-GC-NYMEX,0,Gold
GF,1.48,0.0000025,0,0,0.00025,0.00025,0.067,2208.955,50000,0.001,GF-FUT-20200326-GF-GLOBEX,123,Feeder Cattle
KC,1.14,0.0005,0,0,0.0005,0.0005,0.0792,14.394,37500,0.001,KC-FUT-20200320-KC-NYBOT,42,Coffee
LE,11.68,0.0000025,0,0,0.00025,0.00025,0.0469,24917.333,40000,0.001,LE-FUT-20200430-LE-GLOBEX,123,Live Cattle
NG,2.34,0.1,0,0,0.005,0.005,1,0.0736,10000,0.04,NG-FUT-20200226-NG-NYMEX,0,Natural Gas
NQ,9604.5,0.5,0,0,0.25,0.25,250,0,20,0.05,NQ-FUT-20221216-NQ-GLOBEX,0,NASDAQ
OJ,1.38,0.0005,0,0,0.0005,0.0005,0.0495,27.86,15000,0,OJ-FUT-20200724-OJ-NYBOT,42,Orange Juice
SI,18.3,0.1,0,0,0.005,0.005,4,4.575,1,0.04,SI-FUT-20200327-SI-NYMEX,5000,Gold
ZB,161.16,0.03125,0,0,0.005,0.005,3,52.74,1000,0.04,ZB-FUT-20200320-ZB-ECBOT,0,30 Yr Treasury Bond
ZC,3.66,0.0025,0,0,0.0025,0.0025,0.175,20.914,5000,0.001,ZC-FUT-20200313-ZC-ECBOT,42,Corn
ZF,119.73,0,0,0,0.005,0.005,1.5,87.153,1,0.04,ZT-FUT-20200331-ZT-ECBOT,2000, 2 Yr Treasury Note
ZN,130.73,0.03125,0,0,0.005,0.005,1.5,105.48,1000,0.04,ZN-FUT-20200320-ZN-ECBOT,0,10 Yr Treasury Note
ZS,9.07,0,0,0,0.0025,0.0025,0.4375,20.709,5000,0.001,ZS-FUT-20200313-ZS-ECBOT,123,Soya Beans
ZT,107.94,0,0,0,0.005,0.005,1.5,87.153,1000,0.04,ZF-FUT-20200331-ZF-ECBOT,0,5 Yr Treasury Note 
6A,0.6732,0,0,0,0.25,0.25,0.00212,61.489,100000,1,6A-FUT-20200413-6A-GLOBEX,0,Aussie Dollar
6B,1.3054,0.0002,0,0,0.25,0.25,0.094,14.218,62500,1,6B-FUT-20200316-6B-GLOBEX,0,Great Britain Pound
6C,0.75415,0,0,0,0.25,0.25,0.089,14.667,100000,1,6C-FUT-20200414-6C-GLOBEX,0,Canadian Dollar
6E,1.16,0.00005,0,0,0.0001,0.0001,0.02,0,125000,2.5,EUR-FUT-20180917-6E-GLOBEX-USD,0,Euro
