Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Market,Multiplier,Commission,Symbol
AUD/USD,0.71518,0.00007,0.1665,-0.458,0.0001,0.000088623,-5,0,1,0,AUD/USD
EUR/CHF,1.0423,0.00013,0.0544,-0.4801,0.0001,0.000095955,-5,0,1,0,EUR/CHF
EUR/USD,1.12848,0.00008,-0.0977,-0.1095,0.0001,0.000088624,-5,0,1,0,EUR/USD
GBP/USD,1.32083,0.00015,0.0092,-0.2495,0.0001,0.000088624,-5,0,1,0,GBP/USD
GER30,15592.9,1,-0.5151,0.0859,1,0.1,-5,CET:0115-2200,0.1,0,DE30/EUR
NAS100,16199.2,1.7,0.021,-0.1892,1,0.088624,-5,CST:1800-1700,0.1,0,NAS100/USD
SPX500,4680.1,0.4,0.0645,-0.1439,1,0.088624,-5,CST:1800-1700,0.1,0,SPX500/USD
UK100,7314.5,0.8,0.8444,-1.191,1,0.11705,-5,WET:0100-2100,0.1,0,UK100/GBP
US30,35798,2,0.6794,-1.359,1,0.088625,-5,CST:1800-1700,0.1,0,US30/USD
USD/CAD,1.27178,0.00014,-0.149,-0.0604,0.0001,0.000069688,-5,0,1,0,USD/CAD
USD/CHF,0.92365,0.00012,0.0627,-0.4682,0.0001,0.000095955,-5,0,1,0,USD/CHF
USD/JPY,113.65,0.008,-0.0006,-0.098,0.01,0.000077987,-5,0,1,0,USD/JPY
USD/MXN,20.98,0.00752,-0.0706,-0.0576,0.0001,0.000004225,-5,0,1,0,USD/MXN
XAG/USD,21.9,0.015,-0.0002,-0.0004,0.0001,0.000088625,-20,EST:1803-1658,1,0,XAG/USD
XAU/USD,1771.68,0.25,-0.0199,-0.029,0.01,0.0088624,-20,EST:1803-1658,1,0,XAU/USD
