Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
AAL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
AAPL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ABBV,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ABT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ACN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ADBE,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ADI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ADP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ADSK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
AEP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
AES,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
AGN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
AIG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
AKAM,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ALL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ALXN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
AMAT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
AMGN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
AMZN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
APA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
APC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ATI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ATVI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
AVGO,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
AVP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
AXP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
BA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
BAC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
BAX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
BBBY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
BHI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
BIDU,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
BIIB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
BK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
BLK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
BMY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
BRK_B,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
C,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CAT,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CBS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CELG,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CERN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CHKP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CHRW,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CHTR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CI,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CL,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CMCSA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
COF,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
COP,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
COST,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CPB,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CRC,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CSCO,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CTSH,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CTXS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CVS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
CVX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
DD,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
DHR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
DIS,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
DISCA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
DISCK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
DISH,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
DLTR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
DNOW,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
DOW,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
DUK,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
DVN,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
EA,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
EBAY,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
EMR,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
EQIX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
ESRX,50,0.1,0,0,0.01,0.01,0,2,1,0.01,*
