Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol,Weight
AAPL,100,0.1,0,0,0.01,0.01,0,2,1,0.02,AAPL!STOOQ:*,3.25
MSFT,100,0.1,0,0,0.01,0.01,0,2,1,0.02,MSFT!STOOQ:*,2.4
XOM,100,0.1,0,0,0.01,0.01,0,2,1,0.02,XOM!STOOQ:*,1.93
AMZN,100,0.1,0,0,0.01,0.01,0,2,1,0.02,AMZN!STOOQ:*,1.76
JNJ,100,0.1,0,0,0.01,0.01,0,2,1,0.02,JNJ!STOOQ:*,1.72
FB,100,0.1,0,0,0.01,0.01,0,2,1,0.02,FB!STOOQ:*,1.59
BRK-B,100,0.1,0,0,0.01,0.01,0,2,1,0.02,BRK.B!STOOQ:*,1.46
GE,100,0.1,0,0,0.01,0.01,0,2,1,0.02,GE!STOOQ:*,1.42
T,100,0.1,0,0,0.01,0.01,0,2,1,0.02,T!STOOQ:*,1.33
JPM,100,0.1,0,0,0.01,0.01,0,2,1,0.02,JPM!STOOQ:*,1.28
PG,100,0.1,0,0,0.01,0.01,0,2,1,0.02,PG!STOOQ:*,1.28
GOOGL,100,0.1,0,0,0.01,0.01,0,2,1,0.02,GOOGL!STOOQ:*,1.27
#GOOG,100,0.1,0,0,0.01,0.01,0,2,1,0.02,GOOG!STOOQ:*,1.23
VZ,100,0.1,0,0,0.01,0.01,0,2,1,0.02,VZ!STOOQ:*,1.13
PFE,100,0.1,0,0,0.01,0.01,0,2,1,0.02,PFE!STOOQ:*,1.1
WFC,100,0.1,0,0,0.01,0.01,0,2,1,0.02,WFC!STOOQ:*,1.07
CVX,100,0.1,0,0,0.01,0.01,0,2,1,0.02,CVX!STOOQ:*,1.04
INTC,100,0.1,0,0,0.01,0.01,0,2,1,0.02,INTC!STOOQ:*,0.95
MRK,100,0.1,0,0,0.01,0.01,0,2,1,0.02,MRK!STOOQ:*,0.92
KO,100,0.1,0,0,0.01,0.01,0,2,1,0.02,KO!STOOQ:*,0.88
BAC,100,0.1,0,0,0.01,0.01,0,2,1,0.02,BAC!STOOQ:*,0.85
CMCSA,100,0.1,0,0,0.01,0.01,0,2,1,0.02,CMCSA!STOOQ:*,0.85
CSCO,100,0.1,0,0,0.01,0.01,0,2,1,0.02,CSCO!STOOQ:*,0.85
HD,100,0.1,0,0,0.01,0.01,0,2,1,0.02,HD!STOOQ:*,0.85
V,100,0.1,0,0,0.01,0.01,0,2,1,0.02,V!STOOQ:*,0.83
PEP,100,0.1,0,0,0.01,0.01,0,2,1,0.02,PEP!STOOQ:*,0.83
PM,100,0.1,0,0,0.01,0.01,0,2,1,0.02,PM!STOOQ:*,0.8
IBM,100,0.1,0,0,0.01,0.01,0,2,1,0.02,IBM!STOOQ:*,0.74
DIS,100,0.1,0,0,0.01,0.01,0,2,1,0.02,DIS!STOOQ:*,0.73
C,100,0.1,0,0,0.01,0.01,0,2,1,0.02,C!STOOQ:*,0.73
UNH,100,0.1,0,0,0.01,0.01,0,2,1,0.02,UNH!STOOQ:*,0.71
AMGN,100,0.1,0,0,0.01,0.01,0,2,1,0.02,AMGN!STOOQ:*,0.67
MO,100,0.1,0,0,0.01,0.01,0,2,1,0.02,MO!STOOQ:*,0.66
MDT,100,0.1,0,0,0.01,0.01,0,2,1,0.02,MDT!STOOQ:*,0.64
ORCL,100,0.1,0,0,0.01,0.01,0,2,1,0.02,ORCL!STOOQ:*,0.63
SLB,100,0.1,0,0,0.01,0.01,0,2,1,0.02,SLB!STOOQ:*,0.58
WMT,100,0.1,0,0,0.01,0.01,0,2,1,0.02,WMT!STOOQ:*,0.58
MMM,100,0.1,0,0,0.01,0.01,0,2,1,0.02,MMM!STOOQ:*,0.57
GILD,100,0.1,0,0,0.01,0.01,0,2,1,0.02,GILD!STOOQ:*,0.56
ABBV,100,0.1,0,0,0.01,0.01,0,2,1,0.02,ABBV!STOOQ:*,0.55
QCOM,100,0.1,0,0,0.01,0.01,0,2,1,0.02,QCOM!STOOQ:*,0.54
MCD,100,0.1,0,0,0.01,0.01,0,2,1,0.02,MCD!STOOQ:*,0.53
MA,100,0.1,0,0,0.01,0.01,0,2,1,0.02,MA!STOOQ:*,0.52
CVS,100,0.1,0,0,0.01,0.01,0,2,1,0.02,CVS!STOOQ:*,0.51
#AGN,100,0.1,0,0,0.01,0.01,0,2,1,0.02,AGN!STOOQ:*,0.49
BMY,100,0.1,0,0,0.01,0.01,0,2,1,0.02,BMY!STOOQ:*,0.48
HON,100,0.1,0,0,0.01,0.01,0,2,1,0.02,HON!STOOQ:*,0.47
UNP,100,0.1,0,0,0.01,0.01,0,2,1,0.02,UNP!STOOQ:*,0.43
SBUX,100,0.1,0,0,0.01,0.01,0,2,1,0.02,SBUX!STOOQ:*,0.42
