Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol,Type
AGG,50,0.1,0,0,0.01,0.01,0,2,1,0.02,*!STOOQ:*,1
DIA,50,0.1,0,0,0.01,0.01,0,2,1,0.02,*!STOOQ:DIA,0
FDN,50,0.1,0,0,0.01,0.01,0,2,1,0.02,*!STOOQ:FDN,0
HYG,50,0.1,0,0,0.01,0.01,0,2,1,0.02,HYG!STOOQ:HYG,1 
IAU,50,0.1,0,0,0.01,0.01,0,2,1,0.02,IAU!STOOQ:IAU,2 
IGM,50,0.1,0,0,0.01,0.01,0,2,1,0.02,*!STOOQ:IGM,0
IGSB,50,0.1,0,0,0.01,0.01,0,2,1,0.02,IGSB!STOOQ:IGSB,1  
ITB,50,0.1,0,0,0.01,0.01,0,2,1,0.02,ITB!STOOQ:ITB,0 
SMH,50,0.1,0,0,0.01,0.01,0,2,1,0.02,SMH!STOOQ:SMH,0 
TLT,50,0.1,0,0,0.01,0.01,0,2,1,0.02,TLT!STOOQ:TLT,1 
VGK,50,0.1,0,0,0.01,0.01,0,2,1,0.02,VGK!STOOQ:VGK,2 
VOO,50,0.1,0,0,0.01,0.01,0,2,1,0.02,VOO!STOOQ:VOO,1 
#SPY,50,0.1,0,0,0.01,0.01,0,2,1,0.02,SPY!STOOQ:SPY,3 
SPLV,50,0.1,0,0,0.01,0.01,0,2,1,0.02,*!STOOQ:SPLV,0
XBI,50,0.1,0,0,0.01,0.01,0,2,1,0.02,XBI!STOOQ:XBI,0 
XLI,50,0.1,0,0,0.01,0.01,0,2,1,0.02,XLI!STOOQ:XLI,0 
XLU,50,0.1,0,0,0.01,0.01,0,2,1,0.02,*!STOOQ:XLU,0
XLV,50,0.1,0,0,0.01,0.01,0,2,1,0.02,XLV!STOOQ:XLV,0 

